Maturity,Coupon,Bid,Asked,Chg,Asked Yield
1/31/2022,1.875,99.7266,99.7422,-0.0469,1.93
2/15/2022,2,100.1953,100.2109,-0.0625,1.956
2/28/2022,1.75,98.9688,98.9844,-0.0156,1.962
3/31/2022,1.75,98.8203,98.8359,-0.0391,1.989
4/30/2022,1.75,98.6953,98.7109,-0.0781,2.011
5/15/2022,1.75,98.6641,98.6797,-0.0469,2.015
5/31/2022,1.875,99.2344,99.25,-0.0625,2.024
6/30/2022,2.125,100.4063,100.4219,-0.0859,2.042
7/31/2022,2,99.7031,99.7188,-0.0781,2.055
8/15/2022,1.625,97.7188,97.7344,-0.0547,2.061
8/15/2022,7.25,127.0938,127.1094,-0.1016,2.037
8/31/2022,1.875,98.9219,98.9375,-0.0391,2.078
9/30/2022,1.75,98.1406,98.1563,-0.0391,2.098
10/31/2022,1.875,98.7344,98.75,-0.0156,2.108
11/15/2022,1.625,97.375,97.3906,-0.0156,2.107
11/15/2022,7.625,130.0938,130.1094,-0.1172,2.063
11/30/2022,2,99.3125,99.3281,-0.0469,2.123
12/31/2022,2.125,99.9297,99.9453,-0.0625,2.135
1/31/2023,1.75,97.7344,97.75,-0.0703,2.153
2/15/2023,2,99.1406,99.1563,-0.0547,2.15
2/15/2023,7.125,128.2969,128.3125,-0.1406,2.098
2/28/2023,1.5,96.2109,96.2266,-0.0625,2.168
3/31/2023,1.5,96.0625,96.0781,-0.0859,2.185
4/30/2023,1.625,96.6719,96.6875,-0.0781,2.197
5/15/2023,1.75,97.3516,97.3672,-0.0938,2.202
5/31/2023,1.625,96.5859,96.6016,-0.0938,2.204
6/30/2023,1.375,95.0078,95.0234,-0.0859,2.213
7/31/2023,1.25,94.1406,94.1563,-0.1094,2.223
8/15/2023,2.5,101.6641,101.6797,-0.1016,2.222
8/15/2023,6.25,124.8203,124.8359,-0.0938,2.15
8/31/2023,1.375,94.75,94.7656,-0.0703,2.237
9/30/2023,1.375,94.6563,94.6719,-0.0703,2.242
10/31/2023,1.625,96.1328,96.1484,-0.0859,2.245
11/15/2023,2.75,103.1172,103.1328,-0.0859,2.248
11/30/2023,2.125,99.2188,99.2344,-0.0781,2.247
12/31/2023,2.25,99.8984,99.9141,-0.1094,2.263
2/15/2024,2.75,103.0859,103.1016,-0.125,2.27
5/15/2024,2.5,101.3281,101.3438,-0.1172,2.298
8/15/2024,2.375,100.3047,100.3203,-0.1094,2.328
11/15/2024,2.25,99.1875,99.2031,-0.0859,2.363
11/15/2024,7.5,137.0781,137.0938,-0.1484,2.266
2/15/2025,2,97.125,97.1406,-0.1406,2.394
2/15/2025,7.625,138.7344,138.75,-0.25,2.307
5/15/2025,2.125,97.7969,97.8125,-0.1406,2.418
8/15/2025,2,96.625,96.6406,-0.1328,2.439
8/15/2025,6.875,134.6094,134.625,-0.2109,2.366
11/15/2025,2.25,98.375,98.3906,-0.1328,2.455
2/15/2026,1.625,93.1563,93.1719,-0.1328,2.474
2/15/2026,6,128.6875,128.7031,-0.2734,2.437
5/15/2026,1.625,92.9375,92.9531,-0.1328,2.48
8/15/2026,1.5,91.6094,91.625,-0.1953,2.493
8/15/2026,6.75,136.2656,136.2813,-0.25,2.455
11/15/2026,2,95.7734,95.7891,-0.1641,2.488
11/15/2026,6.5,134.8203,134.8359,-0.2266,2.466
2/15/2027,6.625,136.6016,136.6172,-0.2344,2.477
8/15/2027,6.375,135.4688,135.4844,-0.2656,2.516
11/15/2027,6.125,133.7188,133.7813,-0.2344,2.523
8/15/2028,5.5,128.9453,129.0078,-0.2969,2.575
11/15/2028,5.25,126.9063,126.9688,-0.2422,2.579
2/15/2029,5.25,127.3438,127.4063,-0.2422,2.584
8/15/2029,6.125,137.5703,137.6328,-0.3125,2.588
5/15/2030,6.25,140.8281,140.8906,-0.3281,2.589
2/15/2031,5.375,132.6484,132.7109,-0.3594,2.58
2/15/2036,4.5,125.6016,125.6641,-0.5078,2.757
2/15/2037,4.75,129.2344,129.2969,-0.5625,2.824
5/15/2037,5,133.2813,133.3438,-0.5625,2.827
2/15/2038,4.375,123.5156,123.5781,-0.5078,2.873
5/15/2038,4.5,125.4766,125.5391,-0.5234,2.885
2/15/2039,3.5,108.6016,108.6641,-0.5078,2.962
5/15/2039,4.25,120.5859,120.6484,-0.5469,2.975
8/15/2039,4.5,124.7188,124.7813,-0.5781,2.981
11/15/2039,4.375,122.625,122.6875,-0.6016,2.993
2/15/2040,4.625,126.8672,126.9297,-0.5859,2.997
5/15/2040,4.375,122.6875,122.75,-0.5,3.008
8/15/2040,3.875,114.1484,114.2109,-0.4922,3.026
11/15/2040,4.25,120.5625,120.625,-0.5234,3.027
2/15/2041,4.75,129.4609,129.4922,-0.5547,3.016
5/15/2041,4.375,122.8906,122.9219,-0.5469,3.034
8/15/2041,3.75,111.8906,111.9219,-0.5234,3.056
11/15/2041,3.125,100.8516,100.8828,-0.4688,3.074
2/15/2042,3.125,100.8281,100.8594,-0.4609,3.076
5/15/2042,3,98.4844,98.5156,-0.5547,3.085
