PERMNO,date,TICKER,PRC,SHROUT
60506,20130228,PCAR,47.45000,353468
60506,20130328,PCAR,50.56000,353700
60506,20130430,PCAR,49.78000,353720
60506,20130531,PCAR,53.60000,353720
60506,20130628,PCAR,53.66000,353800
60506,20130731,PCAR,56.27000,353973
60506,20130830,PCAR,53.61000,353973
60506,20130930,PCAR,55.66000,354100
60506,20131031,PCAR,55.60000,354092
60506,20131129,PCAR,57.31000,354092
60506,20131231,PCAR,59.17000,354092
60871,20130131,ADI,43.64000,305234
60871,20130228,ADI,45.22000,305985
60871,20130328,ADI,46.49000,305985
60871,20130430,ADI,43.99000,305985
60871,20130531,ADI,45.93000,308165
60871,20130628,ADI,45.06000,308165
60871,20130731,ADI,49.38000,308165
60871,20130830,ADI,46.28000,310693
60871,20130930,ADI,47.05000,310693
60871,20131031,ADI,49.30000,310693
60871,20131129,ADI,48.22000,311045
60871,20131231,ADI,50.93000,311045
61621,20130131,PAYX,32.65000,363456
61621,20130228,PAYX,33.10500,363898
61621,20130328,PAYX,35.06000,363716
61621,20130430,PAYX,36.41000,363716
61621,20130531,PAYX,37.23000,365400
61621,20130628,PAYX,36.51000,365532
61621,20130731,PAYX,39.44000,365532
61621,20130830,PAYX,38.68000,365196
61621,20130930,PAYX,40.64000,365196
61621,20131031,PAYX,42.26500,365196
61621,20131129,PAYX,43.73000,364212
61621,20131231,PAYX,45.53000,365196
66384,20130131,WDC,47.00000,240665
66384,20130228,WDC,47.16000,240665
66384,20130328,WDC,50.29000,238000
66384,20130430,WDC,55.28000,236383
66384,20130531,WDC,63.32000,236383
66384,20130628,WDC,62.09000,237000
66384,20130731,WDC,64.38000,237000
66384,20130830,WDC,62.00000,236996
66384,20130930,WDC,63.40000,236000
66384,20131031,WDC,69.63000,236528
66384,20131129,WDC,75.04000,236528
66384,20131231,WDC,83.90000,236528
69550,20130131,MYL,28.27000,395205
69550,20130228,MYL,29.61000,395551
69550,20130328,MYL,28.95500,381024
69550,20130430,MYL,29.11000,381090
69550,20130531,MYL,30.48000,381090
69550,20130628,MYL,31.03000,381702
69550,20130731,MYL,33.56000,381812
69550,20130830,MYL,35.34000,381812
69550,20130930,MYL,38.17000,382728
69550,20131031,MYL,37.86500,382857
69550,20131129,MYL,44.13000,382857
69550,20131231,MYL,43.40000,382857
70536,20130131,SIAL,77.33000,120445
70536,20130228,SIAL,77.06000,120445
70536,20130328,SIAL,77.65000,120335
70536,20130430,SIAL,78.69000,120335
70536,20130531,SIAL,83.70000,120335
70536,20130628,SIAL,80.42000,120239
